date,region,Re_estimate,CI_down_Re_estimate,CI_up_Re_estimate
2020-03-07,AG,2.37,1.632,3.244
2020-03-08,AG,2.329,1.661,3.109
2020-03-09,AG,2.239,1.642,2.928
2020-03-10,AG,2.116,1.587,2.721
2020-03-11,AG,1.992,1.521,2.525
2020-03-12,AG,1.888,1.466,2.363
2020-03-13,AG,1.807,1.424,2.235
2020-03-14,AG,1.733,1.383,2.121
2020-03-15,AG,1.656,1.335,2.011
2020-03-16,AG,1.571,1.276,1.895
2020-03-17,AG,1.477,1.207,1.774
2020-03-18,AG,1.386,1.137,1.659
2020-03-19,AG,1.306,1.075,1.56
2020-03-20,AG,1.242,1.024,1.48
2020-03-21,AG,1.191,0.984,1.417
2020-03-22,AG,1.148,0.95,1.365
2020-03-23,AG,1.106,0.915,1.315
2020-03-24,AG,1.06,0.876,1.261
2020-03-25,AG,1.011,0.833,1.205
2020-03-26,AG,0.962,0.791,1.151
2020-03-27,AG,0.919,0.752,1.102
2020-03-28,AG,0.881,0.718,1.062
2020-03-29,AG,0.849,0.687,1.027
2020-03-30,AG,0.816,0.656,0.993
2020-03-31,AG,0.78,0.622,0.956
2020-04-01,AG,0.743,0.586,0.919
2020-04-02,AG,0.708,0.552,0.884
2020-04-03,AG,0.683,0.525,0.861
2020-04-04,AG,0.671,0.51,0.854
2020-04-05,AG,0.671,0.505,0.861
2020-04-06,AG,0.678,0.505,0.877
2020-04-07,AG,0.687,0.506,0.896
2020-04-08,AG,0.696,0.507,0.914
2020-04-09,AG,0.704,0.507,0.933
2020-04-10,AG,0.718,0.512,0.958
2020-04-11,AG,0.745,0.527,0.998
2020-04-12,AG,0.78,0.55,1.049
2020-04-13,AG,0.813,0.571,1.097
2020-04-14,AG,0.835,0.584,1.131
2020-04-15,AG,0.837,0.58,1.141
2020-04-16,AG,0.818,0.56,1.124
2020-04-17,AG,0.786,0.529,1.093
2020-04-18,AG,0.756,0.5,1.064
2020-04-19,AG,0.734,0.477,1.045
2020-04-20,AG,0.72,0.46,1.037
2020-04-21,AG,0.714,0.448,1.04
2020-04-22,AG,0.711,0.439,1.048
2020-04-23,AG,0.705,0.426,1.054
2020-04-24,AG,0.696,0.411,1.056
2020-04-25,AG,0.691,0.398,1.063
2020-04-26,AG,0.697,0.394,1.085
2020-04-27,AG,0.713,0.397,1.122
2020-04-28,AG,0.735,0.403,1.166
2020-04-29,AG,0.757,0.409,1.21
2020-04-30,AG,0.773,0.411,1.247
2020-05-01,AG,0.782,0.408,1.274
2020-05-02,AG,0.784,0.402,1.293
2020-05-03,AG,0.787,0.395,1.311
2020-05-04,AG,0.791,0.391,1.331
2020-05-05,AG,0.796,0.386,1.352
2020-05-06,AG,0.798,0.379,1.369
2020-05-07,AG,0.796,0.37,1.383
2020-05-08,AG,0.79,0.358,1.39
2020-05-09,AG,0.776,0.341,1.387
2020-05-10,AG,0.755,0.319,1.374
2020-05-11,AG,0.727,0.294,1.354
2020-05-12,AG,0.701,0.269,1.337
2020-05-13,AG,0.687,0.25,1.339
2020-05-14,AG,0.69,0.241,1.369
2020-05-15,AG,0.703,0.237,1.416
2020-05-16,AG,0.722,0.236,1.476
2020-05-17,AG,0.744,0.236,1.539
2020-05-18,AG,0.76,0.233,1.595
2020-05-19,AG,0.768,0.225,1.636
2020-05-20,AG,0.773,0.218,1.673
2020-05-21,AG,0.784,0.213,1.718
2020-05-22,AG,0.804,0.214,1.778
2020-05-23,AG,0.836,0.22,1.856
2020-05-24,AG,0.867,0.226,1.93
2020-05-25,AG,0.874,0.222,1.965
2020-05-26,AG,0.849,0.203,1.947
2020-05-27,AG,0.803,0.177,1.894
2020-05-28,AG,0.755,0.15,1.838
2020-05-29,AG,0.727,0.132,1.818
2020-05-30,AG,0.74,0.13,1.872
2020-05-31,AG,0.796,0.141,2.003
2020-06-01,AG,0.888,0.167,2.199
2020-06-02,AG,1.006,0.206,2.43
2020-06-03,AG,1.131,0.253,2.656
2020-06-04,AG,1.247,0.304,2.842
2020-06-05,AG,1.343,0.356,2.971
2020-06-06,AG,1.41,0.404,3.033
2020-06-07,AG,1.437,0.438,3.017
2020-06-08,AG,1.424,0.455,2.934
2020-06-09,AG,1.383,0.458,2.81
